,0
1821,269.0
1822,321.0
1823,585.0
1824,871.0
1825,1475.0
1826,2821.0
1827,3928.0
1828,5943.0
1829,4950.0
1830,2577.0
1831,523.0
1832,98.0
1833,184.0
1834,279.0
1835,409.0
1836,2285.0
1837,2685.0
1838,3409.0
1839,1824.0
1840,409.0
1841,151.0
1842,45.0
1843,68.0
1844,213.0
1845,546.0
1846,1033.0
1847,2129.0
1848,2536.0
1849,957.0
1850,361.0
1851,377.0
1852,225.0
1853,360.0
1854,731.0
1855,1638.0
1856,2725.0
1857,2871.0
1858,2119.0
1859,684.0
1860,299.0
1861,236.0
1862,245.0
1863,552.0
1864,1623.0
1865,3311.0
1866,6721.0
1867,4254.0
1868,687.0
1869,255.0
1870,473.0
1871,358.0
1872,784.0
1873,1594.0
1874,1676.0
1875,2251.0
1876,1426.0
1877,756.0
1878,299.0
1879,201.0
1880,229.0
1881,469.0
1882,736.0
1883,2042.0
1884,2811.0
1885,4431.0
1886,2511.0
1887,389.0
1888,73.0
1889,39.0
1890,49.0
1891,59.0
1892,188.0
1893,377.0
1894,1292.0
1895,4031.0
1896,3495.0
1897,587.0
1898,105.0
1899,153.0
1900,387.0
1901,758.0
1902,1307.0
1903,3465.0
1904,6991.0
1905,6313.0
1906,3794.0
1907,1836.0
1908,345.0
1909,382.0
1910,808.0
1911,1388.0
1912,2713.0
1913,3800.0
1914,3091.0
1915,2985.0
1916,3790.0
1917,674.0
1918,81.0
1919,80.0
1920,108.0
1921,229.0
1922,399.0
1923,1132.0
1924,2432.0
1925,3574.0
1926,2935.0
1927,1537.0
1928,529.0
1929,485.0
1930,662.0
1931,1000.0
1932,1590.0
1933,2657.0
1934,3396.0
